id best_lik post_prob assigned
coclEASm_005-20 Eastmain 1 yes
coclEASm_006-20 Eastmain 1 yes
coclEASm_008-20 Rupert 1 yes
coclEASm_010-20 Eastmain 1 yes
coclEASm_012-20 Rupert 1 yes
coclEASm_017-20 Eastmain 1 yes
coclEASm_020-20 Eastmain 1 yes
coclEASm_021-20 Rupert 1 yes
coclEASm_024-20 Rupert 1 yes
coclEASs_001-20 Eastmain 1 yes
coclEASs_002-20 Eastmain 1 yes
coclEASs_624-21 Eastmain 1 yes
coclEASs_625-21 Eastmain 1 yes
coclEASs_707-22 Eastmain 1 yes
coclEASs_709-22 Rupert 0.8 yes
coclEASs_719-22 Eastmain 1 yes
coclEASs_721-22 Rupert 1 yes
coclEASs_725-22 Eastmain 1 yes
coclEASs_726-22 Eastmain 1 yes
coclEASs_727-22 Rupert 0.9 yes
coclEASs_730-22 Eastmain 0.9 yes
coclEASs_737-22 Eastmain 1 yes
coclEASs_739-22 Rupert 1 yes
coclEASs_776-22 Eastmain 1 yes
coclFISs_003-21 Eastmain 1 yes
coclFISs_005-21 Eastmain 1 yes
coclFISs_006-21 Rupert 0.9 yes
coclFISs_008-21 Eastmain 1 yes
coclFISs_009-21 Rupert 1 yes
coclFISs_010-21 Eastmain 1 yes
coclFISs_011-21 Eastmain 1 yes
coclFISs_012-21 Eastmain 1 yes
coclFISs_013-21 Eastmain 1 yes
coclFISs_014-21 Eastmain 1 yes
coclFISs_015-21 Eastmain 1 yes
coclFISs_016-21 Eastmain 1 yes
coclFISs_017-21 Rupert 1 yes
coclFISs_019-21 Rupert 0.8 yes
coclFISs_020-21 Rupert 1 yes
coclFISs_021-22 Eastmain 1 yes
coclFISs_022-21 Eastmain 1 yes
coclFISs_022-22 Eastmain 1 yes
coclFISs_023-21 Eastmain 1 yes
coclFISs_024-21 Rupert 1 yes
coclFISs_025-21 Eastmain 0.5 no
coclFISs_026-21 Eastmain 1 yes
coclFISs_026-22 Eastmain 1 yes
coclFISs_027-21 Eastmain 0.9 yes
coclFISs_027-22 Eastmain 1 yes
coclFISs_028-21 Eastmain 1 yes
coclFISs_028-22 Rupert 0.9 yes
coclFISs_031-21 Eastmain 1 yes
coclFISs_032-21 Rupert 0.9 yes
coclFISs_034-21 Eastmain 1 yes
coclFISs_035-21 Eastmain 1 yes
coclFISs_036-21 Rupert 0.7 yes
coclFISs_037-21 Rupert 1 yes
coclFISs_038-21 Rupert 1 yes
coclFISs_040-21 Eastmain 1 yes
coclJACs_066-21 Rupert 0.9 yes
coclJACs_067-21 Eastmain 1 yes
coclJACs_069-21 Eastmain 1 yes
coclJACs_070-21 Rupert 1 yes
coclJACs_071-21 Rupert 1 yes
coclJACs_072-21 Rupert 0.8 yes
coclJACs_073-21 Eastmain 1 yes
coclJACs_075-21 Rupert 1 yes
coclJACs_076-21 Eastmain 1 yes
coclJACs_078-21 Eastmain 1 yes
coclJACs_079-21 Rupert 0.7 yes
coclJACs_084-21 Eastmain 1 yes
coclJACs_088-21 Rupert 0.9 yes
coclJACs_092-21 Eastmain 1 yes
coclJACs_095-21 Eastmain 1 yes
coclJACs_096-21 Rupert 0.9 yes
coclJACs_097-21 Rupert 1 yes
coclJACs_100-21 Eastmain 1 yes
coclLAGs_1876-21 Roggan 1 yes
coclLAGs_2577-21 La_Grande 0.6 yes
coclLAGs_2578-21 La_Grande 1 yes
coclLAGs_2580-21 La_Grande 1 yes
coclLAGs_2581-21 La_Grande 1 yes
coclLAGs_2582-21 La_Grande 1 yes
coclLAGs_2583-21 La_Grande 1 yes
coclLAGs_2584-21 La_Grande 1 yes
coclLAGs_2585-21 La_Grande 1 yes
coclLAGs_2832-22 Roggan 1 yes
coclLAGs_2833-22 Roggan 1 yes
coclLAGs_2834-22 Roggan 1 yes
coclLAGs_2844-22 Roggan 1 yes
coclLAGs_2847-22 Roggan 1 yes
coclLAGs_2848-22 Roggan 1 yes
coclLAGs_2870-22 Roggan 1 yes
coclLAGs_2871-22 Beaver 0.6 yes
coclLAGs_2874-22 La_Grande 0.5 no
coclLAGs_2875-22 La_Grande 0.6 yes
coclNOTs_002-20 Rupert 0.8 yes
coclNOTs_7004-21 Rupert 1 yes
coclNOTs_7007-21 Roggan 1 yes
coclNOTs_7010-21 Rupert 1 yes
coclNOTs_7011-21 Rupert 1 yes
coclNOTs_7013-21 Rupert 1 yes
coclNOTs_7014-21 Rupert 1 yes
coclNOTs_7016-21 Rupert 1 yes
coclNOTs_7017-21 Rupert 0.7 yes
coclNOTs_7028-21 Rupert 0.8 yes
coclNOTs_7029-21 Rupert 1 yes
coclNOTs_7030-21 Rupert 1 yes
coclNOTs_7034-21 Rupert 0.9 yes
coclROGs_2016-21 Roggan 1 yes
coclROGs_2018-21 Roggan 0.9 yes
coclROGs_2020-21 Roggan 0.9 yes
coclROGs_2022-21 Roggan 0.7 yes
coclROGs_2024-21 Roggan 1 yes
coclROGs_2025-21 Roggan 0.9 yes
coclROGs_2151-21 Roggan 0.9 yes
coclROGs_2152-21 Roggan 1 yes
coclROGs_2153-21 Roggan 0.8 yes
coclROGs_2155-21 Roggan 1 yes
coclROGs_2156-21 Roggan 0.9 yes
coclROGs_2157-21 Roggan 0.6 yes
coclROGs_2158-21 Roggan 0.9 yes
coclROGs_2161-21 Roggan 1 yes
coclROGs_2164-21 Roggan 1 yes
coclROGs_2168-21 Roggan 1 yes
coclROGs_2169-21 Roggan 1 yes
coclROGs_2171-21 Roggan 0.9 yes
coclROGs_2175-21 Roggan 0.7 yes
coclRUPs_002-20 Rupert 1 yes
coclRUPs_003-20 Rupert 1 yes
coclRUPs_011-20 Rupert 1 yes
coclRUPs_012-20 Rupert 0.9 yes
coclRUPs_015-20 Rupert 1 yes
coclRUPs_016-20 La_Grande 0.3 no
coclRUPs_017-20 Rupert 1 yes
coclRUPs_018-20 Rupert 1 yes
coclRUPs_021-20 Rupert 1 yes
coclRUPs_022-20 Rupert 1 yes
coclRUPs_023-20 Rupert 1 yes
coclRUPs_024-20 Rupert 1 yes
coclRUPs_025-20 Rupert 1 yes
coclRUPs_026-20 Rupert 1 yes
coclRUPs_027-20 Rupert 0.8 yes
coclRUPs_028-20 Rupert 1 yes
coclRUPs_029-20 Rupert 1 yes
coclRUPs_030-20 Rupert 0.9 yes
coclRUPs_031-20 Rupert 1 yes
coclRUPs_032-20 Nottaway 0.5 no
coclRUPs_035-20 Rupert 1 yes
coclRUPs_038-20 Rupert 1 yes
coclSABs_001-20 Sabacunica 1 yes
coclSABs_002-20 Sabacunica 0.7 yes
coclSABs_003-20 Sabacunica 0.6 yes
coclSABs_004-20 Sabacunica 0.9 yes
coclSABs_005-20 Sabacunica 0.8 yes
coclSABs_006-20 Sabacunica 0.8 yes
coclSABs_007-20 Sabacunica 0.9 yes
coclSABs_008-20 Sabacunica 0.6 yes
coclSABs_009-20 Sabacunica 0.8 yes
coclSABs_011-20 Sabacunica 1 yes
coclSABs_012-20 Rupert 0.9 yes
coclSABs_013-20 Sabacunica 0.8 yes
coclSABs_014-20 Sabacunica 1 yes
coclSABs_015-20 Sabacunica 0.8 yes
coclSABs_016-21 Sabacunica 0.9 yes
coclSABs_018-21 Sabacunica 0.9 yes
coclSABs_029-21 Sabacunica 1 yes
coclSABs_030-21 Sabacunica 0.8 yes
coclSABs_034-21 Sabacunica 1 yes
coclSABs_038-21 Sabacunica 1 yes
coclTILs_001-21 Rupert 1 yes
coclTILs_002-21 Rupert 0.7 yes
coclTILs_003-21 Eastmain 0.9 yes
coclTILs_005-21 Eastmain 1 yes
coclTILs_006-21 Eastmain 1 yes
coclTILs_007-21 Eastmain 1 yes
coclTILs_008-21 Eastmain 1 yes
coclTILs_009-21 Rupert 1 yes
coclTILs_011-21 Eastmain 0.9 yes
coclTILs_013-21 Eastmain 1 yes
coclTILs_014-21 Eastmain 1 yes
coclTILs_015-21 Eastmain 1 yes
