id best_lik post_prob assigned
safoLAGs_2051-21 Biagadwshi 0.5 no
safoLAGs_2052-21 Biagadwshi 0.6 no
safoLAGs_2053-21 Biagadwshi 0.6 no
safoLAGs_2054-21 Biagadwshi 0.7 no
safoLAGs_2055-21 Biagadwshi 0.6 no
safoLAGs_2056-21 Aquatuc 0.5 no
safoLAGs_2057-21 Biagadwshi 0.7 no
safoLAGs_2105-21 Biagadwshi 0.6 no
safoLAGs_2114-21 Biagadwshi 0.6 no
safoLAGs_2860-22 Aquatuc 1 yes
safoMOAs_1000-21 Sabacunica 1 yes
safoMOAs_953-21 Sabacunica 0.9 yes
safoMOAs_968-21 Sabacunica 0.9 yes
safoMOAs_969-21 Sabacunica 1 yes
safoMOAs_970-21 Aquatuc 0.5 no
safoMOAs_991-21 Aquatuc 0.8 yes
safoMOAs_993-21 Sabacunica 0.8 yes
safoMOAs_995-21 Sabacunica 0.6 no
safoMOAs_996-21 Sabacunica 0.7 no
safoMOAs_997-21 Sabacunica 1 yes
safoMOAs_998-21 Sabacunica 1 yes
safoMOAs_999-21 Sabacunica 0.8 yes
safoRENs_002-20 Renoyer 1 yes
safoRENs_004-20 Renoyer 1 yes
safoRENs_016-20 Renoyer 1 yes
safoRENs_017-20 Renoyer 1 yes
safoRENs_019-20 Conn 0.5 no
safoRENs_022-20 Renoyer 1 yes
safoRENs_023-20 Renoyer 1 yes
safoRENs_024-20 Renoyer 1 yes
safoRENs_030-20 Renoyer 1 yes
safoRENs_031-20 Eastmain 1 yes
safoRENs_035-20 Renoyer 0.9 yes
safoRENs_036-20 Renoyer 1 yes
safoRENs_037-20 Renoyer 0.9 yes
safoRENs_039-20 Renoyer 0.9 yes
safoRENs_040-20 Renoyer 0.8 yes
safoRENs_041-20 Renoyer 1 yes
safoRENs_043-20 Renoyer 0.8 yes
safoROGs_2376-21 Aquatuc 0.5 no
safoROGs_2377-21 Kaapsaoui 0.5 no
safoROGs_2378-21 Kaapsaoui 0.8 yes
safoROGs_2381-21 Kaapsaoui 0.5 no
safoROGs_2382-21 Kaapsaoui 0.8 yes
safoROGs_2383-21 Kaapsaoui 0.6 no
safoROGs_2384-21 Kaapsaoui 0.6 no
safoROGs_2386-21 Biagadwshi 1 yes
safoROGs_2387-21 Kaapsaoui 1 yes
safoROGs_2388-21 Kaapsaoui 1 yes
safoROGs_2389-21 Aquatuc 0.6 no
safoSABs_001-20 Conn 0.5 no
safoSABs_002-20 Sabacunica 1 yes
safoSABs_010-20 Sabacunica 1 yes
safoSABs_013-20 Sabacunica 1 yes
safoSABs_014-20 Sabacunica 1 yes
safoSABs_015-21 Sabacunica 1 yes
safoSABs_017-21 Sabacunica 1 yes
safoSABs_021-21 Sabacunica 1 yes
safoSABs_024-21 Sabacunica 1 yes
safoSABs_025-21 Sabacunica 1 yes
safoSABs_030-21 Beaver 0.8 yes
safoSABs_031-21 Sabacunica 0.9 yes
safoSABs_032-21 Sabacunica 0.7 no
safoWASm_3003-21 Conn 0.8 yes
safoWASm_3008-21 Conn 0.9 yes
safoWASm_3009-21 Eastmain 1 yes
safoWASm_3603-22 Conn 0.9 yes
safoWASm_3604-22 Conn 0.9 yes
