"INDIVIDUALS"	"STRATA"
"109"	"coclPUVx_09-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"110"	"coclPUVx_10-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"111"	"coclPUVx_11-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"112"	"coclPUVx_12-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"113"	"coclPUVx_13-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"114"	"coclPUVx_14-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"115"	"coclPUVx_15-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"116"	"coclPUVx_17-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"117"	"coclPUVx_18-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"118"	"coclPUVx_19-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"119"	"coclPUVx_20-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"120"	"coclPUVx_21-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"121"	"coclPUVx_22-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"122"	"coclPUVx_23-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"123"	"coclPUVx_24-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"124"	"coclPUVx_25-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"125"	"coclRUPs_001-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"126"	"coclRUPs_002-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"127"	"coclRUPs_004-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"128"	"coclRUPs_006-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"129"	"coclRUPs_007-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"130"	"coclRUPs_008-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"131"	"coclRUPs_009-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"132"	"coclRUPs_010-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
