"PC1" "PC2" "clus" "pop_clus" "pop" "lat" "long" "origin"
"75" -0.0194038567494439 -0.0909628873431272 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"76" 0.00287858525093706 -0.110167142661251 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"77" -0.00760377415339947 -0.107401351747097 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"78" 0.0604247693964235 -0.113732617272853 "2" "SAB" "Sabacunica" 52.842839 -78.76795 "BEA"
"79" 0.0155901157869728 -0.135479617491512 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"80" -0.0156814768379671 -0.10518916392762 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"81" -0.163576459130814 -0.0804902950745763 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BEA"
"82" -0.0219230277274688 -0.105078472786779 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"83" 0.0110744549118814 -0.111720013254573 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"84" -0.0328730100848449 -0.103883093145761 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"85" -0.0033267878555256 -0.108618659490638 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"86" 0.0144756463551779 -0.112475864062102 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"87" 0.0433661460429282 -0.121796023110342 "2" "SAB" "Sabacunica" 52.842839 -78.76795 "BEA"
"88" -0.0291371087100776 -0.116754678424042 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"89" 0.0195235829208395 -0.111991878804491 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"90" -0.0183582571951068 -0.1042773105534 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"91" 0.0209849217795542 -0.103838324904224 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"92" 0.045110760437265 -0.116704910077637 "2" "SAB" "Sabacunica" 52.842839 -78.76795 "BEA"
"93" -0.00908718649390038 -0.103337272345615 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"94" 0.0435664291805545 -0.108036469453964 "2" "SAB" "Sabacunica" 52.842839 -78.76795 "BEA"
"95" -0.0118304320481418 -0.111608725544763 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"96" -0.00544102951321165 -0.0956020445225891 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"97" -0.145856480297373 -0.0500432577751504 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"98" -0.155540780067528 -0.0333802251587818 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"99" -0.160507150949606 -0.04128219705253 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"100" -0.16587378838932 -0.0643132730479268 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"101" -0.150686031075885 -0.0309619046120516 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"102" -0.163112267506461 -0.0384378192133413 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"103" -0.149932412814644 -0.0406035872636309 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"104" -0.163272029140324 -0.0450282471334902 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"105" -0.149380938456462 -0.0481995223620523 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"106" -0.172515328087744 -0.0377101210454788 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"107" -0.161906358716967 -0.050411853083801 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"108" -0.164834895312087 -0.0387579335523656 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"109" -0.170443911927918 -0.0482496833925964 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"110" -0.17239720935423 -0.0341856151843732 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"111" -0.171807670644762 -0.0565226633428342 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"112" -0.162068985961286 -0.0543574317510502 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"113" -0.15322554962173 -0.0406858402359792 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"114" -0.180656379683806 -0.0476968465409579 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"115" -0.177147648788343 -0.0412863822107332 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"116" -0.0701230616326516 -0.0502053746515685 "1" "BEA" "Beaver" 53.385666 -79.014775 "BIA"
"117" -0.154722777478039 -0.0434066811161292 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"118" -0.160159563867673 -0.0521604710795764 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"119" -0.160953337281244 -0.0295732023703254 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"120" -0.150414608017372 -0.0478313802491225 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"121" -0.185559456588965 -0.0798210730334736 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"122" -0.185183248031659 -0.0677023054812487 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"123" -0.174147834951315 -0.067998136193047 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"124" -0.148015644911192 -0.0662450461694435 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"125" -0.171075191841776 -0.081410781158487 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"126" -0.15069555731229 -0.0688426076871707 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"127" -0.172340666594184 -0.0604158621215783 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BIA"
"128" -0.323636842674197 0.0784273153749818 "4" "KAA" "Kaapsaoui" 54.535974 -79.551461 "KAA"
"129" -0.322422825101289 0.125636391583389 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"130" -0.317500743940005 0.111166569479401 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"131" -0.312683180945044 0.101750944055814 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"132" -0.319602124333283 0.0977808999932697 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"133" -0.329470179643124 0.0942759791004442 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"134" -0.321881857245661 0.110482827143141 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"135" -0.307224292578196 0.0884908347326109 "4" "KAA" "Kaapsaoui" 54.535974 -79.551461 "KAA"
"136" -0.321738027591719 0.103090900832455 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"137" -0.325415710763326 0.0951966388305509 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"138" -0.330099869989035 0.110599401503445 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"139" -0.332671882294193 0.107224645604662 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"140" -0.313526888006976 0.0794921492152373 "4" "KAA" "Kaapsaoui" 54.535974 -79.551461 "KAA"
"141" -0.324253770442518 0.102415764051699 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"142" -0.328565099675823 0.100916587589437 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"143" -0.321763622025088 0.104313986121238 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"144" -0.299791082533304 0.103258940017325 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"145" -0.327558635037914 0.1022449260258 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"146" -0.345665961939779 0.109859131700771 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"147" -0.329297034644726 0.0854435393783058 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"148" -0.297301524939704 0.0895038781639026 "4" "KAA" "Kaapsaoui" 54.535974 -79.551461 "KAA"
"149" -0.329803450673409 0.111902284360501 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"150" -0.309952217915055 0.0829097096606454 "4" "KAA" "Kaapsaoui" 54.535974 -79.551461 "KAA"
"151" -0.319917194645338 0.113877878999364 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"152" -0.310842741877585 0.0911036365650856 "4" "KAA" "Kaapsaoui" 54.535974 -79.551461 "KAA"
"153" -0.329122212576451 0.107886458353914 "5" "ROG" "Roggan" 54.406767 -79.507696 "KAA"
"154" 0.145712602801084 0.116251821840991 "6" "RUP" "Rupert" 51.481728 -78.832198 "CON"
"155" 0.133141461075763 -0.0501718708555407 "7" "EAS" "Eastmain" 52.242126 -78.575722 "CON"
"156" 0.148586519766405 -0.0378216685040704 "7" "EAS" "Eastmain" 52.242126 -78.575722 "CON"
